,epoch,val_mae,train_mae
0,0,0.6339647920646247,0.6542360600760054
1,1,0.6253730491139685,0.6254066358093081
2,2,0.6152565283444155,0.6108601912922451
3,3,0.6129208091109551,0.6012389939267757
4,4,0.6115971580858023,0.5949591675386755
5,5,0.6111618725881994,0.590536925760803
6,6,0.611279225899689,0.5872663834296007
7,7,0.609650322251208,0.5847420619083623
8,8,0.6098721880146418,0.582617164088794
9,9,0.6085059973203704,0.5808339780751761
10,10,0.6097765473772311,0.5793477640642782
11,11,0.6123183278124757,0.5780600956490737
12,12,0.6095541150021148,0.5769091938938102
13,13,0.6134329905432193,0.575906276183051
14,14,0.6085001250703856,0.5749988894271514
15,15,0.6147006326267808,0.5741696870442003
16,16,0.6175023445032325,0.5734339694453566
17,17,0.6097073474893049,0.5727878818886887
18,18,0.6124728457353695,0.5721228175882631
19,19,0.611017287505458,0.571537920387914
